n	subset	label	correctness	faithfulness	recall	graph_n	lexical_n	dense_n	question
1	thesis_factual	PASS	1.0	1.0	1.0	1	1	2	Y冷冻设备公司是哪一年在大连投资建厂的？
3	thesis_factual	PASS	1.0	1.0	1.0	1	1	1	Y冷冻设备公司的主要产品有哪两种速冻机？
6	thesis_factual	PASS	1.0	1.0	1.0	1	1	1	这篇论文的作者是谁？学号是多少？
9	thesis_factual	PASS	1.0	1.0	1.0	1	1	1	Y冷冻设备公司每年可以生产多少台速冻机？
10	thesis_factual	PASS	1.0	1.0	1.0	1	1	1	速冻机行业中的两家领军企业是哪两家？
11	thesis_factual	PASS	1.0	1.0	1.0	1	3	2	论文使用了哪四个理论工具来分析营销环境？
12	thesis_factual	PASS	1.0	1.0	1.0	1	1	1	4R策略包括哪四个方面？
13	thesis_factual	PASS	1.0	1.0	1.0	1	1	2	Y冷冻设备公司的韩方投资者最早在韩国哪里成立公司？
14	thesis_factual	PASS	1.0	1.0	1.0	1	1	1	论文中提到的速冻机替代品是什么？
15	thesis_factual	PASS	1.0	1.0	1.0	2	2	3	Y冷冻设备公司选择的目标市场是什么类型的市场？
16	thesis_synthesis	PASS	1.0	1.0	1.0	1	1	1	Y冷冻设备公司2019年和2020年的营业收入分别是多少？为什么会出现亏损？
17	thesis_synthesis	PASS	1.0	1.0	0.75	1	2	2	论文指出Y冷冻设备公司营销人员存在哪些主要问题？
18	thesis_synthesis	PASS	1.0	1.0	1.0	1	2	5	Y冷冻设备公司的反应策略包括哪三个具体措施？
20	thesis_synthesis	PASS	1.0	1.0	1.0	3	3	2	根据论文，Y冷冻设备公司为什么选择专业化市场而不是地区性市场或边缘市场？
21	thesis_synthesis	PASS	1.0	1.0	1.0	1	1	1	论文中关系策略包含哪三个具体措施来强化与客户的互动？
23	thesis_synthesis	PASS	1.0	1.0	1.0	1	1	1	根据波特五力分析，速冻机行业的供应商分为哪五大部分？
24	thesis_synthesis	PASS	1.0	1.0	1.0	2	2	2	论文提到速冻机按结构可以分为哪四类？按冻结方式又可以分为哪四类？
27	thesis_numeric	PASS	1.0	1.0	1.0	1	2	1	2019年速冻食品行业中速冻米面制品、速冻火锅料、速冻菜肴及其他各自的份额是多少？
31	thesis_numeric	PASS	1.0	1.0	1.0	1	1	1	论文预测2021年至2025年期间速冻机市场总需求约为多少台？市场规模约为多少亿元？
33	thesis_numeric	PASS	1.0	1.0	0.5	1	1	1	美国速冻食品年产量达到多少万吨？人均年消费量是多少千克？
37	thesis_numeric	PASS	1.0	1.0	1.0	1	1	1	截至2020年末，我国登记注册的食品加工企业大约有多少家？
38	thesis_adversarial	PASS	1.0	1.0	1.0	1	2	2	Y冷冻设备公司的注册资本是多少万元？
39	thesis_adversarial	PASS	1.0	1.0	1.0	3	5	2	Y冷冻设备公司的韩方投资者叫什么名字？
41	thesis_adversarial	PASS	1.0	1.0	1.0	2	10	7	Y冷冻设备公司的速冻机产品保修期是几年？
42	thesis_adversarial	PASS	1.0	1.0	1.0	3	3	4	论文调研中访谈了多少名营销人员？
43	thesis_adversarial	PASS	1.0	1.0	1.0	1	4	5	Y冷冻设备公司2021年实施营销策略后的营收增长了多少？
44	thesis_adversarial	PASS	1.0	1.0	1.0	1	2	2	论文中提到的螺旋式速冻机转毂直径是多少毫米？
45	thesis_adversarial	PASS	1.0	1.0	1.0	1	6	6	Y冷冻设备公司主要竞争对手烟台冰轮的总部在哪个城市？
51	adr_factual	PASS	1.0	1.0	1.0	2	3	3	ADR-0004在LlmProvider trait中新增了什么方法来支持结构化工具调用？
52	adr_factual	PASS	1.0	1.0	1.0	1	3	2	ADR-0009的沙箱检索桥接使用哪两个管道文件描述符进行通信？
53	adr_factual	PARTIAL	0.6	0.9	1.0	1	2	2	根据ADR-0009，沙箱检索桥接暴露了哪些检索方法？
54	adr_factual	PASS	1.0	1.0	1.0	1	1	1	ADR-0009拒绝了哪些备选方案？
56	adr_factual	PASS	1.0	1.0	1.0	1	2	1	ADR-0009中实现HostBridge trait的结构体叫什么名字？它持有哪些字段？
57	adr_factual	PASS	1.0	1.0	1.0	1	1	1	根据ADR-0009，哪个文件在落地时被废除？
59	cross_adr	PASS	1.0	1.0	1.0	1	4	2	ADR-0004和ADR-0009各自的决策日期是什么？
60	cross_adr	PASS	1.0	1.0	1.0	2	2	3	ADR-0004中保留了EvidenceGate作为质量过滤器，ADR-0009中保留的兜底机制叫什么？
61	cross_adr	PASS	1.0	1.0	1.0	1	2	4	ADR-0004的验证计划分为几个Slice？ADR-0009的分阶段实施分为几个Phase？
62	cross_adr	PASS	1.0	1.0	1.0	2	2	0	ADR-0004废弃了parse_rag_plan_decision，ADR-0009废弃了什么文件？
63	consulting_factual	PASS	1.0	1.0	1.0	1	1	1	网络效应贡献了科技企业多少比例的价值创造？
64	consulting_factual	PASS	1.0	1.0	0.5	2	3	3	平台网络效应系列文章的观点源自哪家机构发布的什么报告？
65	consulting_factual	PASS	1.0	1.0	1.0	1	2	3	Salesforce占据全球CRM市场多少份额？
66	consulting_factual	PASS	1.0	1.0	1.0	1	2	2	Salesforce生态中开发者需支付多少比例的分成？可获得多少企业客户流量？
67	consulting_factual	PASS	1.0	1.0	1.0	1	1	1	Salesforce的年收入突破了多少美元？
68	consulting_factual	PASS	1.0	1.0	1.0	1	2	2	文章提到企业业务流程有多少比例运行在Salesforce生态内时迁移成本将不可承受？
71	consulting_factual	PASS	1.0	1.0	1.0	1	1	2	薪酬设计需要遵从哪三个原则？
74	consulting_factual	PASS	1.0	1.0	1.0	5	5	6	薪酬解构案例中小王转岗后的固定薪资是多少？为什么她离职了？
76	consulting_factual	PASS	1.0	1.0	1.0	1	3	2	RBF合同通常设定基于本金多少倍的抽成上限？
77	ipd_table	INFRA_ERROR	None	None	0.0	1	3	8	华为IPD流程包含哪几个阶段？
78	ipd_table	SELECTION_MISS	0.5	0.8	1.0	2	2	3	华为IPD流程中概念阶段有多少个活动？
79	ipd_table	PASS	1.0	1.0	1.0	2	2	2	华为IPD流程中开发阶段有多少个活动？哪个阶段活动最多？
81	ipd_table	PASS	1.0	1.0	1.0	1	1	1	华为IPD流程中概念决策评审的活动号是什么？
82	ipd_table	PASS	1.0	1.0	1.0	1	1	1	华为IPD流程中可获得性决策评审的活动号是什么？
83	ipd_table	PASS	1.0	1.0	1.0	1	1	1	华为IPD流程中生命终止决策评审的活动号是什么？
84	ipd_table	PASS	1.0	1.0	1.0	1	2	2	华为IPD流程中解散PDT团队的活动号是什么？
85	ipd_table	PASS	1.0	1.0	1.0	1	1	1	华为IPD流程中计划决策评审的活动号是什么？
88	ipd_table	PASS	1.0	1.0	1.0	2	2	2	华为IPD流程中验证阶段有多少个活动？发布阶段有多少个活动？
95	baiyao_pdf	PASS	1.0	1.0	1.0	1	4	4	云南白药IT规划中S级项目的定义标准是什么？
96	baiyao_pdf	PASS	1.0	1.0	1.0	1	1	1	云南白药IT规划中A级项目的定义标准是什么？
99	baiyao_pdf	PASS	1.0	1.0	0.0	1	2	4	云南白药数字化集成解决方案开发流程的核心要点是什么？
100	cross_document	PASS	1.0	1.0	1.0	5	8	9	Y冷冻设备公司的4R策略和云南白药IT规划的4A架构，分别是什么意思？
101	cross_document	PASS	1.0	1.0	1.0	1	8	6	论文中Y冷冻设备公司的营销问题和咨询文章中国内企业软件市场的问题，有什么共同的根源？
102	cross_document	PASS	0.9	1.0	1.0	4	6	10	薪酬解构文章中提到的'竞争性原则'和Y冷冻设备公司论文中的目标市场选择，有什么联系？
104	cross_document	PASS	0.9	0.9	0.0	1	1	1	在这些文档中，哪些文档提到了'客户'的重要性？分别从什么角度？
106	cross_document	PASS	1.0	1.0	1.0	1	2	4	华为IPD流程有多少个活动？云南白药IT规划有多少个业务对象？两者在'体系化'方面有什么共同特点？
107	cross_document	PASS	1.0	1.0	1.0	1	2	6	ADR-0009中的沙箱检索桥接和华为IPD流程中的模块化设计，在'解耦'思想上有什么联系？
114	orchestrator_paradigm	PASS	1.0	0.9	1.0	1	2	2	Y冷冻设备公司在产品、价格、渠道、宣传四个方面的营销策略分别是什么？
118	rag_search_joint	PASS	1.0	1.0	1.0	1	3	2	云南白药IT规划的4A架构与TOGAF企业架构框架有哪些对应关系？
119	rag_search_joint	PASS	1.0	1.0	1.0	1	1	1	咨询文章称“网络效应贡献了科技企业70%的价值创造”，这一量级与公开创投研究的结论是否一致？
120	rag_search_joint	PASS	1.0	1.0	1.0	1	1	1	文中提到 RBF 合同的抽成上限通常设定为本金的多少倍？这与公开资料中 RBF 融资的常见成本区间相比如何？
121	rag_search_joint	PASS	1.0	1.0	1.0	1	1	1	文章称美国早在上世纪60年代就建立了急速冷冻的模拟公式，公开资料中美国速冻技术的发展起点大约在什么时期？
126	rag_codegen_channels	PASS	1.0	1.0	1.0	1	4	5	Y冷冻设备公司在广告和品牌推广上的投入策略是什么？
127	rag_codegen_channels	PASS	1.0	1.0	1.0	1	4	3	预制菜能够长期保持风味和营养，背后的关键物理原理是什么？
130	rag_codegen_channels	PASS	1.0	1.0	1.0	1	1	3	滴灌通的 DRC 合约与 DRO、DRP 之间是什么关系？
131	rag_codegen_channels	PASS	1.0	1.0	1.0	1	1	6	RBF、滴灌通和乐旋乒乓这篇文章的核心论点和结论分别是什么？
133	memory_coreference	PASS	1.0	1.0	1.0	1	1	1	那2020年呢？比2019年少了多少？
134	memory_coreference	PASS	1.0	1.0	1.0	1	3	3	这个架构包含哪几个域？
